Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12481,2012-10-22,0.0558881685,0.0996862847,0.0981201316,21,100
Market-Adjusted Model,12484,2012-10-22,0.3636364333,0.3873481211,0.4058683964,21,100
Market-Adjusted Model,12486,2012-10-22,0.0198675309,0.0834766819,0.062099494,21,100
Market-Adjusted Model,12487,2012-10-22,0.0111242487,0.0540883568,0.0533562118,21,100
Market-Adjusted Model,12488,2012-10-22,-0.25274727,-0.219556172,-0.210515306,21,100
Market-Adjusted Model,12489,2012-10-22,-0.105042009,-0.058450672,-0.062810046,21,100
Market-Adjusted Model,12492,2012-10-22,0.0105263077,0.0715112104,0.0527582708,21,100
Market-Adjusted Model,12493,2012-10-22,-0.108711839,-0.068691297,-0.066479876,21,100
Market-Adjusted Model,12494,2012-10-22,-0.063034107,-0.01825812,-0.020802144,21,100
Market-Adjusted Model,12496,2012-10-22,0.1299342024,0.1715425069,0.1721661655,21,100
Market-Adjusted Model,12497,2012-10-22,-0.247863217,-0.233645679,-0.205631254,21,100
Market-Adjusted Model,12498,2012-10-22,-0.028148158,0.0264087547,0.0140838055,21,100
Market-Adjusted Model,12499,2012-10-22,0.1551247084,0.1944392127,0.1973566714,21,100
Market-Adjusted Model,12500,2012-10-22,0.0530972919,0.0961919881,0.095329255,21,100
Market-Adjusted Model,12501,2012-10-22,-0.081760959,-0.037654285,-0.039528996,21,100
Market-Adjusted Model,12502,2012-10-22,0.0403659607,0.1014552272,0.0825979238,21,100
Market-Adjusted Model,12505,2012-10-22,0.041480513,0.0836373884,0.0837124761,21,100
Market-Adjusted Model,12507,2012-10-22,-0.265536753,-0.252137149,-0.22330479,21,100
Market-Adjusted Model,12508,2012-10-22,-0.01442836,0.0287300214,0.0278036027,21,100
Market-Adjusted Model,12509,2012-10-22,0.0034090596,0.0480786459,0.0456410227,21,100
Market-Adjusted Model,12510,2012-10-22,-0.009236777,0.0347119659,0.0329951861,21,100
Market-Adjusted Model,12513,2012-10-22,-0.007222852,0.0359809108,0.0350091111,21,100
Market-Adjusted Model,12514,2012-10-22,0.033616919,0.0759140958,0.0758488821,21,100
Market-Adjusted Model,12515,2012-10-22,-0.077631075,-0.037029669,-0.035399112,21,100
Market-Adjusted Model,12516,2012-10-22,-0.005568557,0.0370227447,0.0366634061,21,100
Market-Adjusted Model,12517,2012-10-22,0.0071364174,0.0494552863,0.0493683805,21,100
Market-Adjusted Model,12518,2012-10-22,0.003069624,0.0453756284,0.0453015871,21,100
Market-Adjusted Model,12519,2012-10-22,0.0024117914,0.0447215675,0.0446437545,21,100
Market-Adjusted Model,12520,2012-10-22,0.0033228407,0.0457428965,0.0455548038,21,100
Market-Adjusted Model,12521,2012-10-22,-0.179943773,-0.145795279,-0.13771181,21,100
