,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
68743,037841,P,03,LC,20752.0,57899.0,2021-03-26,
68747,037842,P,02,LC,21057.0,57942.0,2021-04-15,2022-12-30
68751,037843,P,02,LC,21042.0,57929.0,2021-04-01,2022-11-17
68753,037844,P,01,LC,20641.0,57994.0,2021-02-05,
68757,037845,P,02,LC,21095.0,57974.0,2021-04-05,2023-02-28
68761,037846,P,02,LC,21114.0,57991.0,2021-04-13,
68762,037848,P,01,LC,20632.0,57984.0,2021-02-05,
68766,037849,P,02,LC,20799.0,57938.0,2021-03-26,2022-12-30
68767,037851,P,01,LC,18938.0,56818.0,2021-01-21,
68772,037854,P,02,LC,20742.0,57892.0,2021-03-30,
68776,037855,P,02,LC,20998.0,58056.0,2021-04-23,
68780,037856,P,03,LC,20999.0,57900.0,2021-04-19,
68784,037857,P,02,LC,21086.0,57965.0,2021-04-12,
68788,037858,P,02,LC,21115.0,58163.0,2021-04-26,2023-03-31
68792,037859,P,02,LC,20864.0,57968.0,2021-03-26,
68796,037860,P,02,LC,20819.0,57945.0,2021-03-29,2022-08-31
68799,037861,P,01,LC,18546.0,56639.0,2021-01-22,2022-12-08
68800,037862,P,90,LC,20564.0,57903.0,2021-02-09,
68801,037863,P,01,LC,20588.0,57926.0,2021-02-12,2023-09-29
68805,037866,P,02,LC,22539.0,58937.0,2021-12-30,
68809,037868,P,03,LC,20686.0,57682.0,2021-03-22,2022-12-30
68813,037869,P,02,LC,20850.0,57959.0,2021-03-25,
68817,037870,P,02,LC,20713.0,57687.0,2021-03-22,2023-02-03
68821,037871,P,02,LC,21117.0,57996.0,2021-04-05,
68823,037872,P,01,LC,20633.0,57986.0,2021-02-12,
68827,037873,P,02,LC,21008.0,58065.0,2021-04-26,2023-11-30
68831,037875,P,03,LC,20890.0,57794.0,2021-03-22,2022-12-09
68836,037881,P,02,LC,20874.0,57782.0,2021-03-18,2022-12-30
68850,037893,P,03,LC,20683.0,57681.0,2021-03-18,2023-01-31
68853,037895,P,01,LC,20346.0,57675.0,2021-02-02,
68854,037896,P,01,LC,20412.0,57710.0,2021-01-28,
68862,037901,P,03,LC,20908.0,57854.0,2021-04-05,
68866,037902,P,02,LC,20740.0,57697.0,2021-03-22,
68876,037906,P,03,LC,20731.0,57694.0,2021-03-22,
68877,037907,P,01,LC,20596.0,57933.0,2021-02-17,2023-09-29
68882,037908,P,02,LC,20798.0,57736.0,2021-03-22,
68887,037910,P,02,LC,21070.0,57949.0,2021-04-12,2023-02-28
68891,037911,P,02,LC,21068.0,57948.0,2021-04-12,
68895,037912,P,02,LC,20859.0,57963.0,2021-03-16,2023-05-10
68900,037916,P,01,LC,20385.0,57690.0,2021-01-27,
68904,037918,P,02,LC,21094.0,57973.0,2021-04-05,2022-12-30
