Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,86924,10/22/2012,0.037974644,0.082510778,0.080206608,21,100
Market-Adjusted Model,86926,10/22/2012,-0.088278385,-0.049078803,-0.046046422,21,100
Market-Adjusted Model,86929,10/22/2012,0.120171669,0.167177315,0.162403632,21,100
Market-Adjusted Model,86938,10/22/2012,-0.001218795,0.042601195,0.041013168,21,100
Market-Adjusted Model,86942,10/22/2012,-0.129237223,-0.092413092,-0.08700526,21,100
Market-Adjusted Model,86946,10/22/2012,-0.067179313,-0.025687208,-0.02494735,21,100
Market-Adjusted Model,86949,10/22/2012,-0.044134741,0.002890943,-0.001902778,21,100
Market-Adjusted Model,86959,10/22/2012,-1.32E-10,0.043519201,0.042231963,21,100
Market-Adjusted Model,86964,10/22/2012,-0.1457991,-0.103446983,-0.103567137,21,100
Market-Adjusted Model,86965,10/22/2012,-0.040901878,0.002969712,0.001330085,21,100
Market-Adjusted Model,86977,10/22/2012,0.054166621,0.116498506,0.096398584,21,100
Market-Adjusted Model,86979,10/22/2012,0.067267322,0.11629502,0.109499285,21,100
Market-Adjusted Model,86988,10/22/2012,-0.026936002,0.017414081,0.015295961,21,100
Market-Adjusted Model,86989,10/22/2012,0.378378326,0.378586419,0.42061029,21,100
Market-Adjusted Model,86990,10/22/2012,-0.222222233,-0.190824047,-0.17999027,21,100
Market-Adjusted Model,86993,10/22/2012,-0.073135425,-0.030156712,-0.030903462,21,100
Market-Adjusted Model,86996,10/22/2012,0.039577883,0.081736608,0.081809846,21,100
Market-Adjusted Model,87000,10/22/2012,0.215721318,0.260259188,0.257953281,21,100
Market-Adjusted Model,87006,10/22/2012,-0.152986348,-0.107026013,-0.110754384,21,100
Market-Adjusted Model,87014,10/22/2012,-0.057032259,-0.01126764,-0.014800296,21,100
Market-Adjusted Model,87016,10/22/2012,-0.147350968,-0.11082961,-0.105119005,21,100
Market-Adjusted Model,87020,10/22/2012,-0.050245079,-0.005568064,-0.008013116,21,100
Market-Adjusted Model,87033,10/22/2012,0.020500113,0.06396921,0.062732076,21,100
Market-Adjusted Model,87034,10/22/2012,0.062795947,0.105812653,0.10502791,21,100
Market-Adjusted Model,87039,10/22/2012,-0.047560958,0.001574771,-0.005328995,21,100
Market-Adjusted Model,87043,10/22/2012,-0.118750039,-0.040472346,-0.076518076,21,100
Market-Adjusted Model,87053,10/22/2012,-0.106557371,-0.059600506,-0.064325407,21,100
Market-Adjusted Model,87055,10/22/2012,-0.044110404,-0.001066828,-0.001878441,21,100
Market-Adjusted Model,87056,10/22/2012,0.115642993,0.197710548,0.157874956,21,100
Market-Adjusted Model,87061,10/22/2012,0.052000044,0.107355521,0.094232007,21,100
Market-Adjusted Model,87066,10/22/2012,-0.006915651,0.039506064,0.035316312,21,100
Market-Adjusted Model,87067,10/22/2012,-0.150172548,-0.116139533,-0.107940585,21,100
Market-Adjusted Model,87069,10/22/2012,-0.05926274,-0.005457303,-0.017030777,21,100
Market-Adjusted Model,87070,10/22/2012,0.017094069,0.06288079,0.059326032,21,100
Market-Adjusted Model,87074,10/22/2012,-0.163219498,-0.123086419,-0.120987535,21,100
Market-Adjusted Model,87075,10/22/2012,-0.104412219,-0.065867956,-0.062180256,21,100
Market-Adjusted Model,87077,10/22/2012,-0.070088481,-0.023756816,-0.027856518,21,100
Market-Adjusted Model,87078,10/22/2012,-0.020255026,0.02608583,0.021976937,21,100
Market-Adjusted Model,87084,10/22/2012,0.307273502,0.353459638,0.349505465,21,100
Market-Adjusted Model,87086,10/22/2012,-0.064869379,-0.016285651,-0.022637416,21,100
Market-Adjusted Model,87089,10/22/2012,-0.164899277,-0.164088916,-0.165321397,8,100
Market-Adjusted Model,87092,10/22/2012,-0.130449939,-0.091493094,-0.088217975,21,100
Market-Adjusted Model,87114,10/22/2012,-0.146990798,-0.11132737,-0.104758835,21,100
Market-Adjusted Model,87121,10/22/2012,0.063432772,0.107533211,0.105664735,21,100
Market-Adjusted Model,87128,10/22/2012,-0.014925363,0.040190132,0.0273066,21,100
Market-Adjusted Model,87131,10/22/2012,0.003875969,0.049802016,0.046107932,21,100
Market-Adjusted Model,87132,10/22/2012,0.00510116,0.048313612,0.047333123,21,100
Market-Adjusted Model,87133,10/22/2012,0.014231065,0.057224133,0.056463029,21,100
Market-Adjusted Model,87137,10/22/2012,-0.076807742,-0.03306998,-0.034575779,21,100
Market-Adjusted Model,87139,10/22/2012,-0.052428699,-0.003001128,-0.010196736,21,100
Market-Adjusted Model,87160,10/22/2012,0.08748319,0.135301524,0.129715153,21,100
Market-Adjusted Model,87162,10/22/2012,-0.095238067,-0.045472839,-0.053006104,21,100
Market-Adjusted Model,87165,10/22/2012,-0.122065772,-0.085147335,-0.079833809,21,100
Market-Adjusted Model,87167,10/22/2012,1.41E-09,0.046060544,0.042231965,21,100
Market-Adjusted Model,87168,10/22/2012,0.224396966,0.324273615,0.266628929,21,100
Market-Adjusted Model,87172,10/22/2012,-0.054131069,-0.010216997,-0.011899106,21,100
Market-Adjusted Model,87173,10/22/2012,0.037499964,0.084564252,0.079731927,21,100
Market-Adjusted Model,87179,10/22/2012,-0.027588985,0.018213681,0.014642979,21,100
Market-Adjusted Model,87184,10/22/2012,-0.118819017,-0.080413427,-0.076587054,21,100
Market-Adjusted Model,87198,10/22/2012,-0.012131902,0.034365892,0.030100061,21,100
Market-Adjusted Model,87199,10/22/2012,-0.075053625,-0.030566537,-0.032821662,21,100
Market-Adjusted Model,87204,10/22/2012,-0.019736877,0.026202918,0.022495086,21,100
Market-Adjusted Model,87209,10/22/2012,-0.024974312,0.033277792,0.017257651,21,100
Market-Adjusted Model,87212,10/22/2012,-0.038216596,0.005839234,0.004015367,21,100
Market-Adjusted Model,87214,10/22/2012,-0.065637034,-0.020834195,-0.023405071,21,100
Market-Adjusted Model,87227,10/22/2012,0.022026412,0.066739624,0.064258375,21,100
Market-Adjusted Model,87236,10/22/2012,-0.169147502,-0.138361656,-0.126915539,21,100
Market-Adjusted Model,87242,10/22/2012,-0.026933662,0.022898855,0.015298301,21,100
Market-Adjusted Model,87251,10/22/2012,-0.096792121,-0.056716143,-0.054560158,21,100
Market-Adjusted Model,87255,10/22/2012,-0.012762272,0.031945328,0.029469691,21,100
Market-Adjusted Model,87261,10/22/2012,0.007155629,0.052465558,0.049387592,21,100
Market-Adjusted Model,87264,10/22/2012,0.030104714,0.077824251,0.072336677,21,100
Market-Adjusted Model,87267,10/22/2012,0.013928175,0.056845187,0.056160138,21,100
Market-Adjusted Model,87268,10/22/2012,-0.067374027,-0.020528523,-0.025142064,21,100
Market-Adjusted Model,87269,10/22/2012,-0.057637657,-0.014337265,-0.015405694,21,100
Market-Adjusted Model,87270,10/22/2012,0.002428961,0.045189484,0.044660924,21,100
Market-Adjusted Model,87277,10/22/2012,-0.102564084,-0.060258741,-0.060332121,21,100
Market-Adjusted Model,87279,10/22/2012,-0.155866882,-0.072041966,-0.113634919,21,100
Market-Adjusted Model,87280,10/22/2012,-0.002309077,0.040529952,0.039922886,21,100
Market-Adjusted Model,87285,10/22/2012,-0.008335201,0.034823165,0.033896762,21,100
Market-Adjusted Model,87289,10/22/2012,0.041807267,0.083835856,0.08403923,21,100
Market-Adjusted Model,87293,10/22/2012,-0.068161798,-0.025972447,-0.025929835,21,100
Market-Adjusted Model,87299,10/22/2012,-0.046688662,-0.000755795,-0.004456699,21,100
Market-Adjusted Model,87302,10/22/2012,-0.038585172,0.008683864,0.003646791,21,100
Market-Adjusted Model,87310,10/22/2012,-0.153846176,-0.119204752,-0.111614213,21,100
Market-Adjusted Model,87318,10/22/2012,0.184225595,0.217417319,0.226457558,21,100
Market-Adjusted Model,87321,10/22/2012,-0.135294127,-0.099189534,-0.093062163,21,100
Market-Adjusted Model,87337,10/22/2012,-0.047618999,0.008281927,-0.005387035,21,100
Market-Adjusted Model,87339,10/22/2012,0.105468742,0.15504014,0.147700705,21,100
Market-Adjusted Model,87342,10/22/2012,0.011834308,0.064175327,0.054066271,21,100
Market-Adjusted Model,87343,10/22/2012,0.129461019,0.174053475,0.171692982,21,100
Market-Adjusted Model,87344,10/22/2012,-0.146666686,-0.066537624,-0.104434723,21,100
Market-Adjusted Model,87345,10/22/2012,-0.106382986,-0.060975489,-0.064151023,21,100
Market-Adjusted Model,87356,10/22/2012,-0.026666698,0.021967172,0.015565265,21,100
Market-Adjusted Model,87360,10/22/2012,-0.826923048,-0.752887108,-0.827345168,8,100
Market-Adjusted Model,87361,10/22/2012,-0.131700182,-0.091998,-0.089468219,21,100
Market-Adjusted Model,87364,10/22/2012,-0.19655178,-0.161200536,-0.154319816,21,100
Market-Adjusted Model,87373,10/22/2012,-0.15384611,-0.116923053,-0.111614147,21,100
Market-Adjusted Model,87379,10/22/2012,-0.195052957,-0.172177321,-0.152820994,21,100
Market-Adjusted Model,87381,10/22/2012,-0.098290608,-0.051814775,-0.056058645,21,94
Market-Adjusted Model,87390,10/22/2012,-0.08875745,-0.042963682,-0.046525487,21,100
Market-Adjusted Model,87394,10/22/2012,-0.148897048,-0.109871106,-0.106665085,21,100
Market-Adjusted Model,87404,10/22/2012,-0.267857147,-0.252228262,-0.225625184,21,100
Market-Adjusted Model,87414,10/22/2012,-0.362421863,-0.392065251,-0.320189899,21,100
Market-Adjusted Model,87415,10/22/2012,0.004032258,0.053125576,0.046264221,21,100
Market-Adjusted Model,87424,10/22/2012,-0.029288768,0.021286227,0.012943195,21,100
Market-Adjusted Model,87426,10/22/2012,-0.006813292,0.036995271,0.035418671,21,100
Market-Adjusted Model,87430,10/22/2012,-0.07798957,-0.034739905,-0.035757607,21,100
Market-Adjusted Model,87432,10/22/2012,-0.03293872,0.011519426,0.009293243,21,100
Market-Adjusted Model,87437,10/22/2012,-0.02027025,0.028247274,0.021961713,21,100
Market-Adjusted Model,87439,10/22/2012,-0.114457794,-0.068814132,-0.072225831,21,100
Market-Adjusted Model,87444,10/22/2012,-0.052736683,-0.010294011,-0.01050472,21,100
Market-Adjusted Model,87445,10/22/2012,-0.017685376,0.029061607,0.024546588,21,100
Market-Adjusted Model,87447,10/22/2012,-0.001305033,0.041996711,0.04092693,21,100
Market-Adjusted Model,87471,10/22/2012,-0.111111167,-0.072420586,-0.068879204,21,100
Market-Adjusted Model,87476,10/22/2012,-0.155675292,-0.124645048,-0.113443329,21,100
Market-Adjusted Model,87487,10/22/2012,-0.134122347,-0.09539284,-0.091890384,21,100
Market-Adjusted Model,87488,10/22/2012,-0.002945671,0.039556282,0.039286292,21,100
Market-Adjusted Model,87494,10/22/2012,-0.073333335,-0.018576226,-0.031101372,21,100
Market-Adjusted Model,87496,10/22/2012,-0.118721504,-0.079534917,-0.076489541,21,100
Market-Adjusted Model,87498,10/22/2012,-0.085287866,-0.042494272,-0.043055903,21,100
Market-Adjusted Model,87499,10/22/2012,-0.09259259,-0.053019901,-0.050360627,21,100
Market-Adjusted Model,87501,10/22/2012,0.033444784,0.07807536,0.075676747,21,100
Market-Adjusted Model,87505,10/22/2012,-0.034680383,0.009931857,0.00755158,21,100
Market-Adjusted Model,87508,10/22/2012,-0.028443125,0.024119969,0.013788838,21,100
Market-Adjusted Model,87510,10/22/2012,0.191570887,0.226191216,0.233802851,21,100
Market-Adjusted Model,87514,10/22/2012,-0.010248857,0.038085936,0.031983106,21,100
Market-Adjusted Model,87525,10/22/2012,0.049382671,0.094891281,0.091614634,21,100
Market-Adjusted Model,87529,10/22/2012,-0.012110493,0.031090518,0.030121471,21,100
Market-Adjusted Model,87532,10/22/2012,-0.060358873,-0.016746484,-0.01812691,21,100
Market-Adjusted Model,87533,10/22/2012,-0.030714321,0.08913939,0.011517643,21,99
Market-Adjusted Model,87538,10/22/2012,-0.190476156,-0.129638145,-0.148244193,21,100
Market-Adjusted Model,87540,10/22/2012,-0.011037569,0.032591058,0.031194394,21,100
Market-Adjusted Model,87541,10/22/2012,-0.011653772,0.031997953,0.030578191,21,100
Market-Adjusted Model,87583,10/22/2012,-0.063829723,-0.017068764,-0.02159776,21,100
Market-Adjusted Model,87589,10/22/2012,-0.061143971,-0.016563829,-0.018912008,21,100
Market-Adjusted Model,87601,10/22/2012,-0.190625038,-0.160523453,-0.148393075,21,100
Market-Adjusted Model,87602,10/22/2012,-0.048824586,-0.001663223,-0.006592623,21,100
Market-Adjusted Model,87604,10/22/2012,0.099999969,0.190653908,0.142231932,21,100
Market-Adjusted Model,87608,10/22/2012,0.06930698,0.121972929,0.111538943,21,100
Market-Adjusted Model,87612,10/22/2012,-0.09247836,-0.040227118,-0.050246397,21,100
Market-Adjusted Model,87614,10/22/2012,-0.11285976,-0.072745466,-0.070627797,21,100
Market-Adjusted Model,87632,10/22/2012,-0.099121816,-0.049464739,-0.056889853,21,100
Market-Adjusted Model,87652,10/22/2012,-0.024758566,0.019831037,0.017473397,21,100
Market-Adjusted Model,87657,10/22/2012,-0.17851546,-0.126138171,-0.136283497,21,100
Market-Adjusted Model,87658,10/22/2012,-0.174940906,-0.108333975,-0.132708943,21,100
Market-Adjusted Model,87659,10/22/2012,-0.045289646,-0.002151547,-0.003057683,21,100
Market-Adjusted Model,87662,10/22/2012,-0.042079755,0.001409833,0.000152209,21,100
Market-Adjusted Model,87666,10/22/2012,0.004930112,0.049207559,0.047162075,21,100
Market-Adjusted Model,87696,10/22/2012,-0.008333293,0.042888486,0.03389867,21,100
Market-Adjusted Model,87717,10/22/2012,0.044928336,0.087799743,0.087160299,21,100
Market-Adjusted Model,87725,10/22/2012,-0.054076582,-0.006568241,-0.011844619,21,100
Market-Adjusted Model,87752,10/22/2012,-0.016635804,0.033584384,0.025596159,21,100
Market-Adjusted Model,87755,10/22/2012,-0.014333684,0.052443888,0.027898279,21,100
Market-Adjusted Model,87759,10/22/2012,-0.01212126,0.042664628,0.030110703,21,100
Market-Adjusted Model,87771,10/22/2012,-0.029439894,0.038521085,0.012792069,21,100
Market-Adjusted Model,87785,10/22/2012,-0.100330745,-0.029073988,-0.058098782,21,100
Market-Adjusted Model,87789,10/22/2012,-0.123165638,-0.084197276,-0.080933675,21,100
Market-Adjusted Model,87797,10/22/2012,0.005194801,0.049159515,0.047426764,21,100
Market-Adjusted Model,87812,10/22/2012,0.099435649,0.147924166,0.141667612,21,100
Market-Adjusted Model,87814,10/22/2012,0.022471889,0.066109797,0.064703852,21,100
Market-Adjusted Model,87816,10/22/2012,-0.157894722,-0.09821046,-0.115662759,21,100
Market-Adjusted Model,87825,10/22/2012,0.019801963,0.066277789,0.062033926,21,100
Market-Adjusted Model,87827,10/22/2012,-0.161437919,-0.123914057,-0.119205956,21,100
Market-Adjusted Model,87832,10/22/2012,0.053691308,0.10390292,0.095923271,21,100
Market-Adjusted Model,87837,10/22/2012,-0.070866171,-0.019473932,-0.028634208,21,100
Market-Adjusted Model,87841,10/22/2012,-0.043923822,0.000228578,-0.001691859,21,100
Market-Adjusted Model,87842,10/22/2012,-0.052047771,-0.006935817,-0.009815808,21,100
Market-Adjusted Model,87844,10/22/2012,0.037298544,0.080321945,0.079530507,21,100
Market-Adjusted Model,87856,10/22/2012,-0.02941174,0.019875074,0.012820223,21,100
Market-Adjusted Model,87952,10/22/2012,-0.096899227,-0.056938344,-0.054667264,21,100
