,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
58296,029777,P,01,LU,80229.0,12882.0,1994-02-25,1995-04-28
58297,029778,P,01,LU,80196.0,30252.0,1994-02-25,2011-10-31
58301,029781,P,90,LU,80300.0,12885.0,1994-02-28,1995-08-16
58302,029782,P,01,LU,80211.0,30266.0,1994-02-25,2004-11-30
58306,029784,C,01,LU,80280.0,12880.0,1994-02-25,2001-05-25
58312,029789,P,90,LC,19672.0,12744.0,1993-12-30,2001-03-15
58313,029789,P,90,LC,79976.0,12744.0,2001-03-16,2007-06-07
58317,029791,P,01,LC,80266.0,12884.0,1994-02-28,2016-08-16
58319,029793,P,01,LU,80284.0,12883.0,1994-02-28,2000-02-29
58325,029803,P,01,LU,80334.0,12891.0,1994-03-01,2002-05-23
58327,029804,P,02,LC,19583.0,30929.0,2007-12-04,
58328,029804,P,02,LC,81910.0,30929.0,1995-08-25,2007-12-03
58330,029806,P,01,LU,80344.0,12889.0,1994-03-01,2001-06-29
58333,029816,C,00X,LU,80366.0,12894.0,1994-03-02,1994-03-30
58334,029816,P,01,LU,80366.0,12894.0,1994-03-31,1997-06-20
58336,029817,P,01,LC,16569.0,55851.0,2017-01-12,2023-06-30
58338,029818,P,01,LU,80359.0,12893.0,1994-03-02,2005-04-29
58341,029819,P,01,LC,16544.0,55837.0,2017-02-02,2018-03-29
58346,029822,P,01,LU,80313.0,12899.0,1994-03-03,2002-02-28
58348,029823,P,01,LU,80325.0,12898.0,1994-03-03,2007-12-31
58352,029824,P,01,LU,80333.0,12896.0,1994-03-03,1999-06-24
58355,029826,P,01,LU,80376.0,12860.0,1994-03-03,2001-04-20
58356,029827,P,01,LU,80397.0,30360.0,1994-03-03,2004-05-28
58359,029828,C,01,LU,80342.0,12900.0,1994-03-03,1995-10-10
58361,029829,P,01,LU,80353.0,12897.0,1994-03-03,2011-10-31
58364,029830,P,01,LC,21186.0,21913.0,2015-07-02,
58365,029830,P,01,LC,80361.0,12895.0,1994-03-03,2015-07-01
58368,029831,C,01,LU,80377.0,12851.0,1994-03-04,1995-03-31
58369,029832,P,01,LU,80400.0,30363.0,1994-03-04,1999-06-30
58371,029835,P,01,LC,16579.0,55857.0,2017-02-10,2021-01-29
58374,029836,P,01,LU,80322.0,12903.0,1994-03-04,1998-09-22
58376,029837,P,01,LU,80306.0,12902.0,1994-03-04,
58381,029844,P,01,LU,80385.0,30349.0,1994-03-07,1996-05-31
58385,029845,C,01,LU,82570.0,14169.0,1995-11-27,1997-10-13
58388,029846,P,01,LC,88643.0,39173.0,2000-09-28,2007-12-03
58391,029849,P,01,LU,80410.0,30374.0,1994-03-18,1998-08-31
58393,029850,P,91,LU,80089.0,30077.0,1993-12-14,
58395,029852,P,01,LU,80348.0,12906.0,1994-03-09,2006-08-31
58398,029854,C,01,LC,80327.0,12907.0,1994-03-09,1999-11-01
58401,029855,P,01,LC,13006.0,53882.0,2011-09-15,
58407,029863,P,01,LU,81471.0,13632.0,1995-03-27,1996-09-30
58410,029864,P,01,LC,80309.0,12910.0,1994-03-10,2008-03-28
58413,029867,P,01,LU,81478.0,13642.0,1995-03-31,1999-05-04
58415,029868,P,01,LU,80399.0,30362.0,1994-03-10,
58417,029870,P,01,LU,80375.0,12908.0,1994-03-10,
58421,029873,P,01,LC,80371.0,12909.0,1994-03-10,1999-04-19
58424,029874,P,01,LC,80372.0,12912.0,1994-03-10,2000-12-05
58427,029875,P,01,LU,80381.0,30345.0,1994-03-11,
58430,029878,P,01,LU,80324.0,12913.0,1994-03-11,2000-10-10
